Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",149.630000,-99.402500,90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.170000,-99.517500,90.000000,top
"C3","33nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.790000,-91.490000,0.000000,top
"C4","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.805000,-81.430000,270.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",121.690000,-92.352500,270.000000,top
"C6","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.150000,-92.467500,270.000000,top
"C7","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",150.265000,-81.430000,90.000000,top
"C8","68nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.424000,-77.366000,270.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",150.265000,-77.393000,270.000000,top
"C10","18pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",161.060000,-81.330000,0.000000,top
"C11","470nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.550000,-90.220000,0.000000,top
"C12","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",132.993000,-111.910000,180.000000,top
"C13","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",126.770000,-106.730000,0.000000,top
"D1","SM4007","D_MELF",131.850000,-102.920000,180.000000,top
"D2","CM1213A-01SO","SOT-23",159.790000,-87.780000,270.000000,top
"D3","CM1213A-01SO","SOT-23",144.550000,-94.030000,90.000000,top
"D4","SM4007","D_MELF",126.770000,-92.760000,180.000000,top
"F1","Fuse_1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",133.120000,-106.730000,0.000000,top
"FB1","1kÎ© @ 100MHz","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",120.420000,-106.730000,180.000000,top
"FM Antenna","J3","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",161.060000,-75.965000,90.000000,top
"GPS","J6","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",152.170000,-71.170000,270.000000,top
"L1","470nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",161.060000,-83.870000,180.000000,top
"Q1","S8050","SOT-23_Handsoldering",144.550000,-97.840000,0.000000,top
"Q2","S8050","SOT-23_Handsoldering",134.390000,-97.840000,0.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.550000,-87.680000,180.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.630000,-95.300000,180.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.470000,-97.840000,270.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.310000,-97.840000,90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.440000,-95.300000,0.000000,top
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",154.583000,-77.393000,270.000000,top
"Reset ESP","SW1","SW_SPST_B3SL-1002P",142.010000,-104.190000,180.000000,top
"U1","Si4734-D60-GU","SSOP-24_3.9x8.7mm_P0.635mm",152.170000,-90.220000,90.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",138.200000,-74.980000,90.000000,top
"U3","LD1117S33TR_SOT223","SOT-223-3_TabPin2",122.960000,-100.380000,180.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",151.535000,-84.859000,180.000000,top
"sel. 3V3 ","SW2","SW_SPDT_CK-JS102011SAQN",112.800000,-99.110000,270.000000,top
